country,variable,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000.0,158000.0,111000.0,83000.0,100000.0,87000.0,100000.0,100000.0,67000.0,73000.0,93000.0,93000.0,100000.0,133000.0,200000.0,253000.0,270000.0,255000.0,255000.0,267000.0,900000.0,1450000.0,2270000.0,2370000.0,3550000.0,3420000.0,3460000.0,4230000.0,4930000.0,4930000.0,5420000.0,6470000.0,7980000.0,8560000.0,11800000.0,13200000.0,16700000.0,17200000.0,23100000.0,21300000.0,24400000.0,28900000.0,36200000.0,31500000.0,33200000.0,39500000.0,46900000.0,53000000.0,57000000.0,45100000.0,51200000.0,62700000.0
Iran,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211000.0,232000.0,256000.0,282000.0,311000.0,343000.0,242000.0,378000.0,635000.0,695000.0,1290000.0,1270000.0,1290000.0,787000.0,1140000.0,1200000.0,999000.0,1350000.0,1270000.0,983000.0,967000.0,952000.0,937000.0,967000.0,710000.0,710000.0,1010000.0,893000.0,1100000.0,1100000.0,1030000.0,1080000.0,1110000.0,1290000.0,1230000.0,1300000.0,1280000.0,1210000.0,1310000.0,1370000.0,1560000.0,1500000.0,1570000.0,1170000.0,1360000.0,1290000.0,1430000.0,1120000.0,1430000.0,1620000.0,1640000.0,1710000.0
Ireland,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130000.0,3560000.0,3790000.0,4630000.0,4410000.0,2150000.0,2050000.0,1910000.0,1860000.0,2010000.0,1700000.0,1750000.0,1830000.0,1730000.0,1990000.0,1880000.0,1970000.0,2090000.0,2260000.0,2170000.0,2490000.0,2740000.0,3520000.0,3580000.0,3590000.0,3460000.0,3320000.0,3160000.0,3070000.0,2940000.0,2960000.0,2990000.0,2840000.0,2860000.0,2460000.0,2620000.0,2740000.0,2640000.0,2550000.0,2390000.0,2670000.0,2380000.0,2350000.0,2270000.0,1960000.0,1980000.0,1950000.0,2260000.0,2050000.0,2030000.0,2190000.0,2180000.0
Israel,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,555000.0,1050000.0,1690000.0,1850000.0,2050000.0,2180000.0,2090000.0,2260000.0,2370000.0,2570000.0,3160000.0,3570000.0,3780000.0,4130000.0,5010000.0,5440000.0,5840000.0,5740000.0,6250000.0,7220000.0,7630000.0,7910000.0,7990000.0,7940000.0,7850000.0,8030000.0,7900000.0,7740000.0,7730000.0,7930000.0,8810000.0,7370000.0,6880000.0,6750000.0,5720000.0
Italy,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8630000.0,8970000.0,9830000.0,9520000.0,9770000.0,9870000.0,9540000.0,8870000.0,9000000.0,9800000.0,9830000.0,9750000.0,9590000.0,9750000.0,10700000.0,12600000.0,12900000.0,14400000.0,13500000.0,15300000.0,15100000.0,14800000.0,14700000.0,13800000.0,14400000.0,14100000.0,13800000.0,12200000.0,10600000.0,11400000.0,12300000.0,11200000.0,11300000.0,11800000.0,11800000.0,12600000.0,13400000.0,13700000.0,14900000.0,16600000.0,16500000.0,16700000.0,16300000.0,15800000.0,12400000.0,13700000.0,15400000.0,15700000.0,13500000.0,13100000.0,12300000.0,10900000.0
Japan,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48700000.0,51900000.0,57000000.0,58700000.0,62700000.0,60400000.0,54800000.0,53600000.0,56600000.0,60000000.0,56200000.0,54900000.0,51800000.0,46900000.0,50100000.0,58200000.0,65300000.0,62200000.0,61400000.0,68600000.0,71600000.0,68200000.0,69600000.0,75200000.0,75300000.0,78000000.0,77400000.0,76100000.0,77600000.0,81300000.0,84300000.0,86500000.0,88800000.0,84700000.0,89100000.0,95500000.0,97800000.0,104000000.0,107000000.0,110000000.0,114000000.0,112000000.0,118000000.0,120000000.0,102000000.0,116000000.0,110000000.0,116000000.0,121000000.0,119000000.0,120000000.0,120000000.0
Kazakhstan,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38100000.0,40100000.0,41600000.0,43400000.0,41400000.0,38700000.0,37800000.0,38100000.0,34600000.0,33800000.0,27300000.0,24400000.0,20900000.0,20600000.0,19100000.0,17800000.0,22300000.0,22600000.0,24900000.0,26600000.0,26900000.0,28300000.0,31100000.0,33800000.0,30900000.0,33400000.0,36300000.0,36500000.0,36300000.0,41000000.0,35800000.0,35600000.0
Kuwait,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813000.0,946000.0,932000.0,939000.0,878000.0,797000.0,890000.0,417000.0,370000.0,307000.0,245000.0,226000.0,182000.0,159000.0,136000.0,92300.0,83800.0,135000.0,175000.0,169000.0,185000.0,251000.0,250000.0,212000.0,168000.0,207000.0,240000.0,234000.0,269000.0,228000.0,182000.0,192000.0
Malaysia,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,20000.0,12000.0,12000.0,15000.0,16000.0,41000.0,104000.0,99000.0,99000.0,9000.0,10000.0,11000.0,24000.0,34000.0,50000.0,93000.0,85000.0,221000.0,239000.0,319000.0,237000.0,327000.0,260000.0,1200000.0,1330000.0,1560000.0,1640000.0,1370000.0,1520000.0,1670000.0,1680000.0,1620000.0,1730000.0,1940000.0,2490000.0,2970000.0,3640000.0,5320000.0,6630000.0,6890000.0,7300000.0,8850000.0,9780000.0,10600000.0,14800000.0,14800000.0,15900000.0,15100000.0,15400000.0,16900000.0,19900000.0
Mexico,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690000.0,736000.0,903000.0,946000.0,959000.0,1080000.0,1350000.0,1490000.0,1600000.0,1770000.0,2030000.0,1560000.0,2240000.0,2340000.0,2300000.0,2320000.0,2050000.0,2460000.0,2800000.0,2810000.0,3050000.0,3360000.0,3250000.0,3070000.0,3400000.0,3370000.0,3260000.0,3300000.0,3720000.0,4500000.0,5010000.0,5740000.0,5750000.0,5880000.0,5980000.0,6550000.0,7190000.0,12000000.0,8880000.0,9090000.0,11500000.0,12300000.0,11300000.0,10100000.0,10300000.0,12700000.0,14700000.0,12800000.0,12700000.0,12700000.0,12700000.0,9810000.0
Netherlands,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8860000.0,8070000.0,7760000.0,7360000.0,6260000.0,4590000.0,3460000.0,2960000.0,3010000.0,2870000.0,2410000.0,3010000.0,3150000.0,3610000.0,3440000.0,3990000.0,4420000.0,5110000.0,5280000.0,6380000.0,6350000.0,6540000.0,6900000.0,8260000.0,8190000.0,8740000.0,8050000.0,8030000.0,8100000.0,8620000.0,8910000.0,8600000.0,8360000.0,8530000.0,7480000.0,7760000.0,8260000.0,8310000.0,8600000.0,8480000.0,8100000.0,7710000.0,8410000.0,7950000.0,7500000.0,7550000.0,7450000.0,8190000.0,8190000.0,9050000.0,11000000.0,10300000.0
New Zealand,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650000.0,1600000.0,1460000.0,1380000.0,1410000.0,1410000.0,1260000.0,1290000.0,1460000.0,1500000.0,1410000.0,1450000.0,1390000.0,1280000.0,1140000.0,1170000.0,1170000.0,1140000.0,1270000.0,1180000.0,1090000.0,1250000.0,1040000.0,1130000.0,1230000.0,1200000.0,1140000.0,1260000.0,1240000.0,1170000.0,1210000.0,1180000.0,1260000.0,1150000.0,1180000.0,1120000.0,1400000.0,1400000.0,2010000.0,2070000.0,2290000.0,2250000.0,1710000.0,2120000.0,1610000.0,1400000.0,1430000.0,1740000.0,1530000.0,1470000.0,1440000.0,1220000.0
Norway,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763000.0,703000.0,738000.0,751000.0,837000.0,855000.0,804000.0,873000.0,938000.0,1040000.0,989000.0,954000.0,822000.0,847000.0,1050000.0,976000.0,978000.0,940000.0,1000000.0,1120000.0,1120000.0,997000.0,963000.0,989000.0,866000.0,811000.0,722000.0,726000.0,785000.0,885000.0,966000.0,960000.0,953000.0,1030000.0,969000.0,993000.0,885000.0,767000.0,749000.0,846000.0,722000.0,620000.0,681000.0,702000.0,559000.0,762000.0,846000.0,819000.0,776000.0,850000.0,819000.0,821000.0
Pakistan,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000.0,1160000.0,1120000.0,1230000.0,1110000.0,923000.0,731000.0,586000.0,582000.0,533000.0,517000.0,512000.0,557000.0,593000.0,661000.0,704000.0,799000.0,906000.0,1030000.0,1170000.0,1320000.0,1500000.0,1700000.0,1780000.0,1950000.0,2070000.0,2050000.0,2100000.0,2210000.0,2190000.0,2210000.0,2240000.0,2090000.0,2100000.0,2100000.0,2030000.0,2110000.0,2360000.0,3030000.0,3360000.0,3750000.0,3970000.0,5440000.0,5990000.0,4930000.0,4630000.0,3990000.0,4050000.0,3210000.0,4730000.0,4670000.0,5390000.0
Peru,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36100.0,45500.0,51300.0,50900.0,85700.0,86900.0,122000.0,132000.0,151000.0,161000.0,168000.0,130000.0,149000.0,127000.0,135000.0,142000.0,144000.0,163000.0,138000.0,110000.0,120000.0,163000.0,184000.0,181000.0,201000.0,145000.0,281000.0,275000.0,289000.0,356000.0,374000.0,392000.0,408000.0,447000.0,405000.0,630000.0,571000.0,782000.0,840000.0,908000.0,921000.0,784000.0,1040000.0,923000.0,829000.0,813000.0,818000.0,873000.0,880000.0,869000.0,810000.0,813000.0
Philippines,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44300.0,42000.0,32700.0,14900.0,19600.0,19600.0,19100.0,18700.0,18700.0,26100.0,49500.0,58800.0,145000.0,133000.0,116000.0,140000.0,243000.0,271000.0,493000.0,789000.0,1120000.0,880000.0,936000.0,1180000.0,936000.0,1070000.0,1200000.0,1200000.0,1220000.0,1170000.0,1410000.0,1970000.0,2440000.0,2470000.0,2890000.0,4010000.0,4100000.0,3570000.0,3720000.0,4040000.0,4590000.0,5020000.0,5400000.0,6350000.0,6060000.0,7020000.0,7720000.0,8090000.0,10000000.0,10600000.0,11600000.0,13500000.0
Poland,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59500000.0,60300000.0,61400000.0,64300000.0,67600000.0,70200000.0,71800000.0,75100000.0,75500000.0,77600000.0,83700000.0,87500000.0,90600000.0,94800000.0,96000000.0,102000000.0,90600000.0,93800000.0,93600000.0,97600000.0,99900000.0,102000000.0,106000000.0,103000000.0,98600000.0,78400000.0,77700000.0,75100000.0,74200000.0,69100000.0,70300000.0,72000000.0,70200000.0,63300000.0,60700000.0,56200000.0,55600000.0,54500000.0,56100000.0,54500000.0,55100000.0,57400000.0,55900000.0,55200000.0,51800000.0,55100000.0,55000000.0,51200000.0,53400000.0,49400000.0,48700000.0,48800000.0
Portugal,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592000.0,604000.0,601000.0,541000.0,510000.0,467000.0,432000.0,382000.0,565000.0,439000.0,412000.0,400000.0,363000.0,428000.0,447000.0,350000.0,397000.0,366000.0,400000.0,495000.0,769000.0,1450000.0,1890000.0,2180000.0,2430000.0,2850000.0,2980000.0,3020000.0,3290000.0,3430000.0,4200000.0,3920000.0,3570000.0,3570000.0,3700000.0,3710000.0,3170000.0,3500000.0,3350000.0,3320000.0,3340000.0,3300000.0,2880000.0,2520000.0,2860000.0,1650000.0,2220000.0,2910000.0,2660000.0,2680000.0,3260000.0,2880000.0
Qatar,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360000.0,4700000.0,5200000.0,5700000.0,6590000.0,7160000.0,7560000.0,7920000.0,8920000.0,9380000.0,9720000.0,9870000.0,9990000.0,11200000.0,12100000.0,12400000.0,13000000.0,12400000.0,14300000.0,14300000.0,14900000.0,15100000.0,16200000.0,17500000.0,17500000.0,12700000.0,10200000.0,10800000.0,10100000.0,10400000.0,10800000.0,10700000.0,9720000.0,8060000.0,6860000.0,7490000.0,7650000.0,8820000.0,9420000.0,9310000.0,8790000.0,9510000.0,10100000.0,9600000.0,7560000.0,7010000.0,8160000.0,7600000.0,5760000.0,5750000.0,5910000.0,5400000.0
Russia,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198000000.0,203000000.0,207000000.0,204000000.0,197000000.0,182000000.0,167000000.0,157000000.0,142000000.0,124000000.0,119000000.0,117000000.0,108000000.0,101000000.0,102000000.0,106000000.0,103000000.0,104000000.0,104000000.0,99900000.0,94600000.0,97000000.0,93900000.0,101000000.0,92200000.0,90500000.0,94000000.0,98400000.0,90500000.0,87600000.0,92200000.0,87300000.0
Saudi Arabia,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7890.0,12400.0,15800.0,14100.0,28000.0,19800.0,55500.0,64200.0,23500.0,67600.0,64200.0,73800.0,96000.0,141000.0,99500.0,99800.0
Singapore,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,5000.0,3000.0,6000.0,3000.0,3000.0,3970.0,3000.0,4340.0,5320.0,1280.0,3370.0,4340.0,4610.0,674.0,2980.0,4610.0,1630.0,3260.0,5000.0,11300.0,7020.0,11700.0,13800.0,12400.0,21400.0,12700.0,18500.0,20500.0,24500.0,11500.0,284.0,0.0,0.0,0.0,0.0,0.0,6740.0,8760.0,6920.0,8400.0,5000.0,8100.0,4900.0,4000.0,7800.0,6400.0,24900.0,264000.0,389000.0,406000.0,381000.0
Slovak Republic,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040000.0,6110000.0,5900000.0,6200000.0,6520000.0,6580000.0,6900000.0,7020000.0,6830000.0,6800000.0,6780000.0,6720000.0,6900000.0,7230000.0,7110000.0,8100000.0,7880000.0,8020000.0,8030000.0,8540000.0,8480000.0,7830000.0,8220000.0,8570000.0,8270000.0,7820000.0,6960000.0,6160000.0,6120000.0,5460000.0,5390000.0,5340000.0,5090000.0,4690000.0,4560000.0,4280000.0,4430000.0,4270000.0,4590000.0,4530000.0,4230000.0,4460000.0,4000000.0,4010000.0,3880000.0,3900000.0,3700000.0,3480000.0,3450000.0,3420000.0,3280000.0,3120000.0
South Africa,Coal Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24700000.0,24300000.0,25000000.0,26200000.0,26500000.0,27400000.0,29300000.0,29500000.0,31400000.0,32900000.0,35100000.0,36800000.0,38200000.0,37100000.0,39500000.0,42700000.0,50600000.0,55500000.0,56400000.0,60800000.0,62400000.0,63300000.0,64400000.0,69600000.0,65000000.0,67300000.0,66100000.0,66400000.0,66600000.0,68800000.0,71300000.0,72400000.0,74000000.0,71800000.0,75000000.0,74600000.0,74900000.0,71200000.0,79200000.0,86800000.0,80000000.0,81500000.0,83700000.0,93300000.0,93800000.0,92800000.0,90500000.0,88300000.0,88600000.0,89800000.0,83400000.0,85100000.0
